Date,Open,High,Low,Close,Volume,OpenInt
1984-03-15,14.94,15.06,14.81,14.94,476000,0
1984-03-16,15.88,15.88,15.12,15.25,967200,0
1984-03-19,15.12,15.12,14.75,14.88,400000,0
1984-03-20,15,15.19,14.75,14.88,630000,0
1984-03-21,14.75,14.81,14.44,14.44,523200,0
1984-03-22,14.31,14.38,14.06,14.06,363800,0
1984-03-23,14.19,14.31,13.81,13.94,364400,0
1984-03-26,13.81,14.19,13.62,14.12,481000,0
1984-03-27,14.12,14.38,14,14.12,474600,0
1984-03-28,14.12,14.81,14.12,14.81,526800,0
1984-03-29,14.81,14.81,14.5,14.56,196800,0
1984-03-30,14.38,14.44,14.25,14.25,340600,0
1984-04-02,14.62,14.81,14.44,14.62,1226800,0
1984-04-03,14.56,14.81,14.25,14.44,685600,0
1984-04-04,14.44,14.62,13.75,13.81,862600,0
1984-04-05,13.88,14,13.38,13.38,864600,0
1984-04-06,13.62,14.38,13.5,13.88,1221200,0
1984-04-09,14,14.25,13.94,14.25,677600,0
1984-04-10,14.5,14.69,14.44,14.56,551600,0
1984-04-11,14.5,14.75,14.31,14.31,648800,0
1984-04-12,14.44,15.38,14,15.38,927600,0
1984-04-13,15.25,15.69,15.12,15.25,1397400,0
1984-04-16,15.19,15.94,14.94,15.88,1089600,0
1984-04-17,16,16.5,15.81,16.19,1988800,0
1984-04-18,16.38,16.69,15.88,16.07,1090600,0
1984-04-19,16.07,16.12,15.75,16.12,951800,0
1984-04-23,16.07,16.5,16.07,16.12,903400,0
1984-04-24,16.12,16.19,15.69,15.88,1051600,0
1984-04-25,15.94,16.32,15.81,16.19,684400,0
1984-04-26,16.32,16.82,16.32,16.75,1037600,0
1984-04-27,16.75,17.25,16.62,17.12,1323200,0
1984-04-30,17.19,17.44,17.07,17.19,941600,0
1984-05-01,17.25,17.44,17.07,17.38,726000,0
1984-05-02,17.32,17.69,17.12,17.32,894000,0
1984-05-03,17.25,17.44,16.69,17,782200,0
1984-05-04,16.88,16.94,16,16.12,1150400,0
1984-05-07,16,16.19,15.88,16.07,653200,0
1984-05-08,16.12,16.62,16,16.62,644000,0
1984-05-09,16.57,16.88,16.44,16.62,1161600,0
1984-05-10,16.62,16.88,16.5,16.69,723200,0
1984-05-11,16.57,16.62,16.25,16.57,572400,0
1984-05-14,16.44,16.62,16.25,16.62,442200,0
1984-05-15,16.5,16.94,16.38,16.82,726000,0
1984-05-16,16.75,16.88,16.44,16.44,288400,0
1984-05-17,16.25,16.32,15.62,15.75,788200,0
1984-05-18,15.62,15.75,15.25,15.5,729000,0
1984-05-21,15.44,15.69,15,15.19,940000,0
1984-05-22,15.19,15.38,14.81,15.38,466200,0
1984-05-23,15.44,15.69,15.31,15.44,488800,0
1984-05-24,15.38,15.44,14.75,15.25,996200,0
1984-05-25,15.06,15.56,15.06,15.44,451800,0
1984-05-29,15.62,15.69,15.19,15.31,285400,0
1984-05-30,15.38,16.38,14.81,15.75,1185400,0
1984-05-31,15.75,16,15.38,15.81,570600,0
1984-06-01,16,16.25,15.94,16.19,762200,0
1984-06-04,16.38,16.5,15.88,15.94,761600,0
1984-06-05,15.88,16.19,15.69,16,796200,0
1984-06-06,16,16.5,15.88,16.5,447800,0
1984-06-07,16.32,16.62,16.12,16.57,546000,0
1984-06-08,16.38,16.57,16.25,16.32,301600,0
1984-06-11,16.25,16.38,15.5,15.62,619400,0
1984-06-12,15.25,15.56,15,15.56,545600,0
1984-06-13,15.81,15.88,15.25,15.38,502200,0
1984-06-14,15.25,15.25,14.06,14.25,3394000,0
1984-06-15,14.5,14.69,14.25,14.69,847800,0
1984-06-18,14.69,15.5,14.5,15.5,940600,0
1984-06-19,15.5,15.69,15.25,15.25,886600,0
1984-06-20,15,16,14.94,16,1026000,0
1984-06-21,16,16.44,15.88,15.94,1876000,0
1984-06-22,15.94,16.32,15.62,16,848200,0
1984-06-25,16.07,16.19,15.75,15.75,328800,0
1984-06-26,15.75,15.75,15,15.06,885000,0
1984-06-27,15.25,15.38,14.81,15,891800,0
1984-06-28,15,15.5,15,15.38,522400,0
1984-06-29,15.5,15.81,15.38,15.38,440000,0
1984-07-02,15.38,15.5,15.06,15.19,406200,0
1984-07-03,15.31,15.5,15.25,15.44,327200,0
1984-07-05,15.31,15.44,15.12,15.12,254400,0
1984-07-06,15.25,15.62,14.94,15.25,841200,0
1984-07-09,15.31,15.56,15.19,15.44,689000,0
1984-07-10,15.5,15.81,15.5,15.56,874400,0
1984-07-11,15.56,15.75,15.12,15.12,705000,0
1984-07-12,15.25,15.25,14,14.56,1729000,0
1984-07-13,14.88,14.88,14.56,14.75,942600,0
1984-07-16,14.75,14.94,14.38,14.94,540000,0
1984-07-17,14.88,15.06,14.75,14.88,546800,0
1984-07-18,14.94,15,14.56,14.75,942800,0
1984-07-19,14.62,14.62,13.19,13.31,1940000,0
1984-07-20,13.5,13.75,13.25,13.31,1334400,0
1984-07-23,13.06,13.31,12.94,13.12,901200,0
1984-07-24,13.25,13.44,12.69,12.81,497800,0
1984-07-25,12.75,13.62,12.56,13.44,989400,0
1984-07-26,13.69,14.19,13.56,14.12,805400,0
1984-07-27,14.12,14.88,14.12,14.75,1004600,0
1984-07-30,14.69,14.88,14.06,14.12,344400,0
1984-07-31,14.12,14.62,14.12,14.5,436000,0
1984-08-01,14.5,15.31,14.5,15.31,1012200,0
1984-08-02,15.56,16.07,15.44,15.88,1727800,0
1984-08-03,18.32,18.32,16.88,17.57,4926200,0
1984-08-06,17.62,18.07,17.32,17.62,2303200,0
1984-08-07,17.44,17.94,17.12,17.69,1344600,0
1984-08-08,17.75,17.88,17.32,17.32,1073200,0
1984-08-09,17.32,19,17.25,18.88,2126200,0
1984-08-10,19.12,19.25,18.12,18.19,2220000,0
1984-08-13,18.12,19.12,18,19,885000,0
1984-08-14,19,19.12,18.38,18.44,869600,0
1984-08-15,18.32,18.75,18.12,18.5,1061800,0
1984-08-16,18.57,19.38,18.57,19.07,1228800,0
1984-08-17,19.38,19.44,19.12,19.38,986600,0
1984-08-20,19.32,19.57,19.19,19.57,720000,0
1984-08-21,19.5,20.25,19.5,20.25,1619600,0
1984-08-22,20.12,20.32,19.57,19.75,1054600,0
1984-08-23,19.75,20.5,19.69,20.5,885400,0
1984-08-24,20.38,20.57,20.12,20.38,765400,0
1984-08-27,20.12,20.12,19.75,20,602200,0
1984-08-28,20,20.25,20,20.19,622200,0
1984-08-29,20.25,20.44,20.25,20.32,470000,0
1984-08-30,20.25,20.38,19.94,19.94,432200,0
1984-08-31,19.62,19.88,19.38,19.69,495600,0
1984-09-04,19.5,19.57,19.12,19.44,387400,0
1984-09-05,19.32,19.62,19.19,19.57,365600,0
1984-09-06,19.69,19.88,19.62,19.75,465600,0
1984-09-07,19.69,19.75,18.69,19.07,721000,0
1984-09-10,18.82,19.19,18.32,19,1391200,0
1984-09-11,19.32,19.69,19.19,19.38,846200,0
1984-09-12,19.32,19.44,18.5,18.75,846000,0
1984-09-13,18.69,19.44,18,19.44,2309400,0
1984-09-14,19.75,20,19.5,19.75,1401200,0
1984-09-17,19.69,20.19,19.69,20.12,695400,0
1984-09-18,19.88,19.88,19.5,19.62,896600,0
1984-09-19,19.57,19.57,18.19,18.5,1203200,0
1984-09-20,18.5,18.82,18.25,18.75,1449600,0
1984-09-21,18.75,19.12,18.57,18.62,992200,0
1984-09-24,18.57,18.69,18.32,18.32,560400,0
